#,類別,Protocol,VIP檔案,大小,來源Bundle,SVA數量,FSM狀態數,Coverage類型,Checkers,版本,最後更新,狀態,下載路徑,License
11,USB,USB3,USB3-VIP.zip,55KB,USB-VIP.zip,42,10,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=6,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB3-VIP.zip,Apache-2.0
12,USB,USB4,USB4-VIP.zip,52KB,USB-VIP.zip,38,7,"Inline,FSM,Toggle,SVA(L1=8,L2=12,L3=8,L4=10)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/USB4-VIP.zip,Apache-2.0
13,USB,eUSB2,eUSB2-VIP.zip,28KB,USB-VIP.zip,34,6,"Inline,FSM,Toggle,SVA(L1=8,L2=8,L3=8,L4=10)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/eUSB2-VIP.zip,Apache-2.0
14,AMBA,AHB,AHB-VIP.zip,31KB,AMBA-VIP.zip,44,6,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/AHB-VIP.zip,Apache-2.0
15,AMBA,APB,APB-VIP.zip,30KB,AMBA-VIP.zip,40,5,"Inline,FSM,Toggle,SVA(L1=4,L2=2,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/APB-VIP.zip,Apache-2.0
16,AMBA,AXI,AXI-VIP.zip,31KB,AMBA-VIP.zip,42,7,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/AXI-VIP.zip,Apache-2.0
17,Memory,DDR,DDR-VIP.zip,27KB,MEMORY-VIP.zip,62,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DDR-VIP.zip,Apache-2.0
18,Memory,DDR5,ddr5-VIP.zip,24KB,NEW,64,8,"Inline,FSM,Toggle,SVA(L1=3,L2=3,L3=2,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ddr5-VIP.zip,Apache-2.0
19,Memory,DDR6,ddr6-VIP.zip,25KB,NEW,64,8,"Inline,FSM,Toggle,SVA(L1=3,L2=3,L3=2,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ddr6-VIP.zip,Apache-2.0
20,Memory,HBM,HBM-VIP.zip,27KB,MEMORY-VIP.zip,52,7,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/HBM-VIP.zip,Apache-2.0
21,Memory,LPDDR,LPDDR-VIP.zip,21KB,MEMORY-VIP.zip,52,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/LPDDR-VIP.zip,Apache-2.0
22,Memory,LPDDR5,lpddr5-VIP.zip,28KB,NEW,48,8,"Inline,FSM,Toggle,SVA(L1=4,L2=8,L3=6,L4=10)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr5-VIP.zip,Apache-2.0
23,Memory,LPDDR5X,lpddr5x-VIP.zip,20KB,NEW,32,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr5x-VIP.zip,Apache-2.0
24,Memory,LPDDR6,lpddr6-VIP.zip,33KB,NEW,76,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr6-VIP.zip,Apache-2.0
25,Memory,ONFI,ONFI-VIP.zip,55KB,MEMORY-VIP.zip,66,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ONFI-VIP.zip,Apache-2.0
26,Memory,SD,SD-VIP.zip,45KB,MEMORY-VIP.zip,66,7,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SD-VIP.zip,Apache-2.0
27,Memory,UFS,UFS-VIP.zip,28KB,MEMORY-VIP.zip,64,7,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UFS-VIP.zip,Apache-2.0
28,Memory,UniPro-Mem,UniPro_Mem-VIP.zip,40KB,MEMORY-VIP.zip,52,6,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UniPro_Mem-VIP.zip,Apache-2.0
29,Memory,eMMC,eMMC-VIP.zip,37KB,MEMORY-VIP.zip,65,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/eMMC-VIP.zip,Apache-2.0
30,Memory,DDR7,ddr7-VIP.zip,25KB,NEW,68,8,"Inline,FSM,Toggle,SVA(L1=3,L2=3,L3=2,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ddr7-VIP.zip,Apache-2.0
31,Memory,GDDR5,gddr5-VIP.zip,25KB,NEW,48,8,"Inline,FSM,Toggle,SVA(L1=4,L2=8,L3=6,L4=10)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/gddr5-VIP.zip,Apache-2.0
32,Memory,GDDR6,gddr6-VIP.zip,8KB,NEW,52,8,"Inline,FSM,Toggle,SVA(L1=8,L2=20,L3=12,L4=12)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/gddr6-VIP.zip,Apache-2.0
33,Memory,GDDR7,gddr7-VIP.zip,30KB,NEW,56,8,"Inline,FSM,Toggle,SVA(L1=4,L2=10,L3=8,L4=10)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/gddr7-VIP.zip,Apache-2.0
34,Memory,HBM2,hbm2-VIP.zip,22KB,NEW,48,8,"Inline,FSM,Toggle,SVA(L1=4,L2=8,L3=6,L4=10)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/hbm2-VIP.zip,Apache-2.0
35,Memory,HBM3,hbm3-VIP.zip,19KB,NEW,52,8,"Inline,FSM,Toggle,SVA(L1=4,L2=10,L3=6,L4=10)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/hbm3-VIP.zip,Apache-2.0
36,Memory,HBM3E,hbm3e-VIP.zip,15KB,NEW,52,8,"Inline,FSM,Toggle,SVA(L1=8,L2=20,L3=12,L4=12)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/hbm3e-VIP.zip,Apache-2.0
37,Memory,HBM4,hbm4-VIP.zip,12KB,NEW,56,8,"Inline,FSM,Toggle,SVA(L1=8,L2=20,L3=16,L4=12)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/hbm4-VIP.zip,Apache-2.0
38,Memory,HBM5,HBM5-VIP.zip,25KB,NEW,68,8,"Inline,FSM,Toggle,SVA(L1=3,L2=3,L3=2,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/HBM5-VIP.zip,Apache-2.0
39,Memory,LPDDR7,lpddr7-VIP.zip,21KB,NEW,32,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/lpddr7-VIP.zip,Apache-2.0
40,MIPI,C-PHY,C_PHY-VIP.zip,34KB,MIPI-VIP.zip,28,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=2,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/C_PHY-VIP.zip,Apache-2.0
41,MIPI,CSE,CSE-VIP.zip,35KB,MIPI-VIP.zip,34,6,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CSE-VIP.zip,Apache-2.0
42,MIPI,CSI-2,CSI_2-VIP.zip,35KB,MIPI-VIP.zip,32,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CSI_2-VIP.zip,Apache-2.0
43,MIPI,D-PHY,D_PHY-VIP.zip,34KB,MIPI-VIP.zip,28,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=2,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/D_PHY-VIP.zip,Apache-2.0
44,MIPI,DSI,DSI-VIP.zip,35KB,MIPI-VIP.zip,32,8,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DSI-VIP.zip,Apache-2.0
45,MIPI,DigRF,DigRF-VIP.zip,31KB,MIPI-VIP.zip,58,5,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DigRF-VIP.zip,Apache-2.0
46,MIPI,HSI,HSI-VIP.zip,32KB,MIPI-VIP.zip,61,6,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/HSI-VIP.zip,Apache-2.0
47,MIPI,M-PHY,M_PHY-VIP.zip,35KB,MIPI-VIP.zip,32,10,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/M_PHY-VIP.zip,Apache-2.0
48,MIPI,UniPro,UniPro-VIP.zip,33KB,MIPI-VIP.zip,32,6,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",1,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UniPro-VIP.zip,Apache-2.0
49,Storage/Debug,Bluetooth5,Bluetooth5-VIP.zip,34KB,uvm_vips.zip,64,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/Bluetooth5-VIP.zip,Apache-2.0
50,Storage/Debug,DisplayPort2,DisplayPort2-VIP.zip,40KB,uvm_vips.zip,62,8,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DisplayPort2-VIP.zip,Apache-2.0
51,Storage/Debug,JTAG,JTAG-VIP.zip,39KB,uvm_vips.zip,58,16,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/JTAG-VIP.zip,Apache-2.0
52,Storage/Debug,NVMe,NVMe-VIP.zip,17KB,uvm_vips.zip,64,7,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/NVMe-VIP.zip,Apache-2.0
53,Storage/Debug,SATA,SATA-VIP.zip,33KB,uvm_vips.zip,62,10,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SATA-VIP.zip,Apache-2.0
54,Automotive,CAN,CAN-VIP.zip,38KB,automotive_vips_only.zip,65,11,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CAN-VIP.zip,Apache-2.0
55,Automotive,Ethernet-AVB-TSN,Ethernet_AVB_TSN-VIP.zip,62KB,automotive_vips_only.zip,118,6,"Inline,FSM,Toggle,SVA(L1=8,L2=12,L3=8,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/Ethernet_AVB_TSN-VIP.zip,Apache-2.0
56,Automotive,FlexRay,FlexRay-VIP.zip,36KB,automotive_vips_only.zip,61,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/FlexRay-VIP.zip,Apache-2.0
57,Automotive,LIN,LIN-VIP.zip,32KB,automotive_vips_only.zip,51,8,"Inline,FSM,Toggle,SVA(L1=4,L2=2,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/LIN-VIP.zip,Apache-2.0
58,Serial,I2C,I2C-VIP.zip,25KB,NEW-v1.5.0,23,7,"Inline,FSM,Toggle,SVA(L1=4,L2=7,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/I2C-VIP.zip,Apache-2.0
59,Audio,I2S Audio,I2S-VIP.zip,27KB,NEW-v1.5.0,21,3,"Inline,FSM,Toggle,SVA(L1=4,L2=3,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/I2S-VIP.zip,Apache-2.0
60,Serial,SPI,SPI-VIP.zip,11KB,NEW-v1.5.0,20,4,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SPI-VIP.zip,Apache-2.0
61,Serial,UART,UART-VIP.zip,6KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/UART-VIP.zip,Apache-2.0
62,Debug,ARM Serial Wire Debug,SWD-VIP.zip,7KB,NEW-v1.5.0,22,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SWD-VIP.zip,Apache-2.0
63,Power,AVSBus (Adaptive Voltage Scaling),AVSBus-VIP.zip,29KB,NEW-v1.5.0,22,4,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/AVSBus-VIP.zip,Apache-2.0
64,Power,ARM Q-Channel Low Power Interface,LPI-VIP.zip,25KB,NEW-v1.5.0,23,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/LPI-VIP.zip,Apache-2.0
65,Video,HDMI 2.1,HDMI-VIP.zip,29KB,NEW-v1.5.0,23,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/HDMI-VIP.zip,Apache-2.0
66,Security,HDCP 2.3 Content Protection,HDCP-VIP.zip,30KB,NEW-v1.5.0,23,6,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/HDCP-VIP.zip,Apache-2.0
67,MIPI,MIPI I3C,I3C-VIP.zip,33KB,NEW-v1.5.0,22,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/I3C-VIP.zip,Apache-2.0
68,MIPI,MIPI RFFE,RFFE-VIP.zip,31KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/RFFE-VIP.zip,Apache-2.0
69,MIPI,MIPI SLIMbus,SLIMbus-VIP.zip,29KB,NEW-v1.5.0,22,5,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SLIMbus-VIP.zip,Apache-2.0
70,MIPI,MIPI SoundWire,SoundWire-VIP.zip,27KB,NEW-v1.5.0,18,5,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SoundWire-VIP.zip,Apache-2.0
71,MIPI,MIPI SPMI,SPMI-VIP.zip,25KB,NEW-v1.5.0,18,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SPMI-VIP.zip,Apache-2.0
72,MIPI,MIPI DBI (Display Bus Interface),DBI-VIP.zip,27KB,NEW-v1.5.0,23,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DBI-VIP.zip,Apache-2.0
73,MIPI,MIPI DPI (Display Pixel Interface),DPI-VIP.zip,25KB,NEW-v1.5.0,22,4,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DPI-VIP.zip,Apache-2.0
74,Interconnect,CCIX Cache Coherent Interconnect,CCIX-VIP.zip,26KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=5,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CCIX-VIP.zip,Apache-2.0
75,Interconnect,CXS CCIX Stream Interface,CXS-VIP.zip,26KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CXS-VIP.zip,Apache-2.0
76,Interconnect,OCP-IP Open Core Protocol,OCP-VIP.zip,23KB,NEW-v1.5.0,17,5,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/OCP-VIP.zip,Apache-2.0
77,Interconnect,TileLink (TL-UL/TL-C),TileLink-VIP.zip,27KB,NEW-v1.5.0,21,4,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/TileLink-VIP.zip,Apache-2.0
78,Interconnect,ARM Local Translation Interface,LTI-VIP.zip,19KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=4)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/LTI-VIP.zip,Apache-2.0
79,Memory,DFI 5.0 (MC-PHY Interface),DFI-VIP.zip,30KB,NEW-v1.5.0,23,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/DFI-VIP.zip,Apache-2.0
80,Telecom,CPRI v8.0 (eCPRI over CPR),CPRI-VIP.zip,28KB,NEW-v1.5.0,22,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/CPRI-VIP.zip,Apache-2.0
81,Telecom,eCPRI over Ethernet,eCPRI-VIP.zip,19KB,NEW-v1.5.0,20,4,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/eCPRI-VIP.zip,Apache-2.0
82,Networking,Interlaken v1.2,Interlaken-VIP.zip,28KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/Interlaken-VIP.zip,Apache-2.0
83,SerDes,JESD204C,JESD204-VIP.zip,29KB,NEW-v1.5.0,21,5,"Inline,FSM,Toggle,SVA(L1=4,L2=4,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/JESD204-VIP.zip,Apache-2.0
84,Storage,SAS-4 (Serial Attached SCSI),SAS-VIP.zip,12KB,NEW-v1.5.0,23,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/SAS-VIP.zip,Apache-2.0
85,Storage,Toggle Mode NAND,ToggleNAND-VIP.zip,11KB,NEW-v1.5.0,23,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/ToggleNAND-VIP.zip,Apache-2.0
86,Security,Crypto / Security Engine,Security-VIP.zip,23KB,NEW-v1.5.0,23,6,"Inline,FSM,Toggle,SVA(L1=4,L2=6,L3=4,L4=5)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/Security-VIP.zip,Apache-2.0
87,USB,USB Type-C Port Controller,TypeC-VIP.zip,32KB,NEW-v1.5.0,25,7,"Inline,FSM,Toggle,SVA(L1=4,L2=7,L3=4,L4=6)",4,v1.7.4,2026-09-18,✅,sandbox:///mnt/agents/output/individual_vip_testbenches/TypeC-VIP.zip,Apache-2.0
